date,city,temp_side,station,outcome_f,source,updated_ts_est
2026-03-08,Miami,low,KMIA,73.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Minneapolis,high,KMSP,60.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Minneapolis,low,KMSP,39.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,New Orleans,high,KMSY,76.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,New Orleans,low,KMSY,66.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,New York City,high,KNYC,69.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,New York City,low,KNYC,50.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Oklahoma City,high,KOKC,75.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Oklahoma City,low,KOKC,31.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Philadelphia,high,KPHL,73.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Philadelphia,low,KPHL,46.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Phoenix,high,KPHX,89.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Phoenix,low,KPHX,56.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,San Antonio,high,KSAT,63.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,San Antonio,low,KSAT,55.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,San Francisco,high,KSFO,74.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,San Francisco,low,KSFO,52.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Seattle,high,KSEA,53.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Seattle,low,KSEA,40.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Washington DC,high,KDCA,76.0,cli_final,2026-03-09 08:29:59 AM EST
2026-03-08,Washington DC,low,KDCA,52.0,cli_final,2026-03-09 08:29:59 AM EST
