date,sig,city,temp_type,ticker,bet,line,first_seen_est,last_seen_est,end_seen_est,duration_seconds,scan_count,max_edge_pct,last_edge_pct,close_reason
2026-03-07,2026-03-07|KXHIGHPHIL-26MAR07-T54|BUY YES,Philadelphia,high,KXHIGHPHIL-26MAR07-T54,BUY YES,53F or below,2026-03-07 01:42:00 PM EST,2026-03-07 01:46:00 PM EST,2026-03-07 01:49:00 PM EST,240,2,59.58,59.58,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHNY-26MAR07-T50|BUY YES,New York City,high,KXHIGHNY-26MAR07-T50,BUY YES,49F or below,2026-03-07 01:46:00 PM EST,2026-03-07 01:46:00 PM EST,2026-03-07 01:49:00 PM EST,0,1,36.16,36.16,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHNY-26MAR07-T50|BUY YES,New York City,high,KXHIGHNY-26MAR07-T50,BUY YES,49F or below,2026-03-07 01:54:05 PM EST,2026-03-07 01:54:05 PM EST,2026-03-07 01:57:00 PM EST,0,1,29.16,29.16,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTLV-26MAR07-B67.5|BUY NO,Las Vegas,high,KXHIGHTLV-26MAR07-B67.5,BUY NO,67F to 68F,2026-03-07 01:46:00 PM EST,2026-03-07 01:57:00 PM EST,2026-03-07 02:02:55 PM EST,660,4,21.15,20.15,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTSEA-26MAR07-B53.5|BUY NO,Seattle,high,KXHIGHTSEA-26MAR07-B53.5,BUY NO,53F to 54F,2026-03-07 01:54:05 PM EST,2026-03-07 01:57:00 PM EST,2026-03-07 02:02:55 PM EST,175,2,21.48,21.48,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHDEN-26MAR07-T48|BUY YES,Denver,high,KXHIGHDEN-26MAR07-T48,BUY YES,47F or below,2026-03-07 01:57:00 PM EST,2026-03-07 02:02:55 PM EST,2026-03-07 02:06:00 PM EST,356,2,19.0,19.0,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHNY-26MAR07-B50.5|BUY NO,New York City,high,KXHIGHNY-26MAR07-B50.5,BUY NO,50F to 51F,2026-03-07 02:10:17 PM EST,2026-03-07 02:10:17 PM EST,2026-03-07 02:14:00 PM EST,0,1,5.02,5.02,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTSEA-26MAR07-B53.5|BUY NO,Seattle,high,KXHIGHTSEA-26MAR07-B53.5,BUY NO,53F to 54F,2026-03-07 02:10:17 PM EST,2026-03-07 02:14:00 PM EST,2026-03-07 02:18:00 PM EST,223,2,26.48,25.48,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTPHX-26MAR07-B79.5|BUY NO,Phoenix,high,KXHIGHTPHX-26MAR07-B79.5,BUY NO,79F to 80F,2026-03-07 02:06:00 PM EST,2026-03-07 02:18:00 PM EST,2026-03-07 02:21:52 PM EST,720,4,21.17,20.17,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTSATX-26MAR07-T79|BUY NO,San Antonio,high,KXHIGHTSATX-26MAR07-T79,BUY NO,78F or below,2026-03-07 02:18:00 PM EST,2026-03-07 02:21:52 PM EST,2026-03-07 02:27:40 PM EST,233,2,23.0,19.0,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTLV-26MAR07-B67.5|BUY NO,Las Vegas,high,KXHIGHTLV-26MAR07-B67.5,BUY NO,67F to 68F,2026-03-07 02:21:52 PM EST,2026-03-07 02:21:52 PM EST,2026-03-07 02:27:40 PM EST,0,1,15.69,15.69,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHPHIL-26MAR07-T54|BUY YES,Philadelphia,high,KXHIGHPHIL-26MAR07-T54,BUY YES,53F or below,2026-03-07 02:27:40 PM EST,2026-03-07 02:27:40 PM EST,2026-03-07 02:31:00 PM EST,0,1,61.83,61.83,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXLOWTAUS-26MAR07-T55|BUY NO,Austin,low,KXLOWTAUS-26MAR07-T55,BUY NO,54F or below,2026-03-07 02:27:40 PM EST,2026-03-07 02:37:00 PM EST,2026-03-07 02:40:00 PM EST,559,4,30.4,30.4,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTPHX-26MAR07-B79.5|BUY NO,Phoenix,high,KXHIGHTPHX-26MAR07-B79.5,BUY NO,79F to 80F,2026-03-07 02:27:40 PM EST,2026-03-07 02:40:00 PM EST,2026-03-07 02:45:45 PM EST,739,5,18.17,18.17,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXLOWTAUS-26MAR07-T55|BUY NO,Austin,low,KXLOWTAUS-26MAR07-T55,BUY NO,54F or below,2026-03-07 02:45:45 PM EST,2026-03-07 02:45:45 PM EST,2026-03-07 02:53:11 PM EST,0,1,30.4,30.4,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTBOS-26MAR07-B45.5|BUY NO,Boston,high,KXHIGHTBOS-26MAR07-B45.5,BUY NO,45F to 46F,2026-03-07 02:45:45 PM EST,2026-03-07 02:45:45 PM EST,2026-03-07 02:53:11 PM EST,0,1,20.7,20.7,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHDEN-26MAR07-T48|BUY YES,Denver,high,KXHIGHDEN-26MAR07-T48,BUY YES,47F or below,2026-03-07 02:45:45 PM EST,2026-03-07 02:45:45 PM EST,2026-03-07 02:53:11 PM EST,0,1,17.0,17.0,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTLV-26MAR07-B67.5|BUY NO,Las Vegas,high,KXHIGHTLV-26MAR07-B67.5,BUY NO,67F to 68F,2026-03-07 02:53:11 PM EST,2026-03-07 02:53:11 PM EST,2026-03-07 02:58:54 PM EST,0,1,18.69,18.69,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTSEA-26MAR07-B53.5|BUY NO,Seattle,high,KXHIGHTSEA-26MAR07-B53.5,BUY NO,53F to 54F,2026-03-07 02:53:11 PM EST,2026-03-07 02:58:54 PM EST,2026-03-07 03:03:00 PM EST,344,2,26.62,25.62,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHLAX-26MAR07-B78.5|BUY NO,Los Angeles,high,KXHIGHLAX-26MAR07-B78.5,BUY NO,78F to 79F,2026-03-07 02:58:54 PM EST,2026-03-07 02:58:54 PM EST,2026-03-07 03:03:00 PM EST,0,1,20.87,20.87,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHNY-26MAR07-T50|BUY YES,New York City,high,KXHIGHNY-26MAR07-T50,BUY YES,49F or below,2026-03-07 03:03:00 PM EST,2026-03-07 03:03:00 PM EST,2026-03-07 03:06:00 PM EST,0,1,42.99,42.99,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTBOS-26MAR07-B45.5|BUY NO,Boston,high,KXHIGHTBOS-26MAR07-B45.5,BUY NO,45F to 46F,2026-03-07 03:03:00 PM EST,2026-03-07 03:03:00 PM EST,2026-03-07 03:06:00 PM EST,0,1,23.72,23.72,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHPHIL-26MAR07-T54|BUY YES,Philadelphia,high,KXHIGHPHIL-26MAR07-T54,BUY YES,53F or below,2026-03-07 02:58:54 PM EST,2026-03-07 03:06:00 PM EST,2026-03-07 03:09:00 PM EST,425,3,48.25,48.25,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHLAX-26MAR07-B78.5|BUY NO,Los Angeles,high,KXHIGHLAX-26MAR07-B78.5,BUY NO,78F to 79F,2026-03-07 03:09:00 PM EST,2026-03-07 03:09:00 PM EST,2026-03-07 03:12:00 PM EST,0,1,23.06,23.06,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXLOWTAUS-26MAR07-T55|BUY NO,Austin,low,KXLOWTAUS-26MAR07-T55,BUY NO,54F or below,2026-03-07 03:12:00 PM EST,2026-03-07 03:12:00 PM EST,2026-03-07 03:16:31 PM EST,0,1,36.4,36.4,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHLAX-26MAR07-B78.5|BUY NO,Los Angeles,high,KXHIGHLAX-26MAR07-B78.5,BUY NO,78F to 79F,2026-03-07 03:16:31 PM EST,2026-03-07 03:16:31 PM EST,2026-03-07 03:20:00 PM EST,0,1,21.06,21.06,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXLOWTCHI-26MAR07-T37|BUY YES,Chicago,low,KXLOWTCHI-26MAR07-T37,BUY YES,36F or below,2026-03-07 03:20:00 PM EST,2026-03-07 03:20:00 PM EST,2026-03-07 03:23:00 PM EST,0,1,10.63,10.63,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTSFO-26MAR07-B74.5|BUY NO,San Francisco,high,KXHIGHTSFO-26MAR07-B74.5,BUY NO,74F to 75F,2026-03-07 03:20:00 PM EST,2026-03-07 03:23:00 PM EST,2026-03-07 03:26:00 PM EST,180,2,20.01,20.01,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHLAX-26MAR07-B78.5|BUY NO,Los Angeles,high,KXHIGHLAX-26MAR07-B78.5,BUY NO,78F to 79F,2026-03-07 03:23:00 PM EST,2026-03-07 03:23:00 PM EST,2026-03-07 03:26:00 PM EST,0,1,16.06,16.06,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXLOWTAUS-26MAR07-T55|BUY NO,Austin,low,KXLOWTAUS-26MAR07-T55,BUY NO,54F or below,2026-03-07 03:23:00 PM EST,2026-03-07 03:29:00 PM EST,2026-03-07 03:33:00 PM EST,360,3,33.4,33.4,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHNY-26MAR07-T50|BUY YES,New York City,high,KXHIGHNY-26MAR07-T50,BUY YES,49F or below,2026-03-07 03:29:00 PM EST,2026-03-07 03:29:00 PM EST,2026-03-07 03:33:00 PM EST,0,1,9.94,9.94,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTMIN-26MAR07-T40|BUY NO,Minneapolis,high,KXHIGHTMIN-26MAR07-T40,BUY NO,39F or below,2026-03-07 03:36:00 PM EST,2026-03-07 03:36:00 PM EST,2026-03-07 03:39:00 PM EST,0,1,58.0,58.0,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTSEA-26MAR07-B53.5|BUY NO,Seattle,high,KXHIGHTSEA-26MAR07-B53.5,BUY NO,53F to 54F,2026-03-07 03:36:00 PM EST,2026-03-07 03:36:00 PM EST,2026-03-07 03:39:00 PM EST,0,1,21.98,21.98,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHLAX-26MAR07-B78.5|BUY NO,Los Angeles,high,KXHIGHLAX-26MAR07-B78.5,BUY NO,78F to 79F,2026-03-07 03:29:00 PM EST,2026-03-07 03:39:00 PM EST,2026-03-07 03:43:00 PM EST,600,4,27.55,27.55,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTBOS-26MAR07-B45.5|BUY NO,Boston,high,KXHIGHTBOS-26MAR07-B45.5,BUY NO,45F to 46F,2026-03-07 03:36:00 PM EST,2026-03-07 03:43:00 PM EST,2026-03-07 03:46:00 PM EST,420,3,25.88,25.88,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXHIGHTLV-26MAR07-B69.5|BUY NO,Las Vegas,high,KXHIGHTLV-26MAR07-B69.5,BUY NO,69F to 70F,2026-03-07 03:43:00 PM EST,2026-03-07 03:43:00 PM EST,2026-03-07 03:46:00 PM EST,0,1,24.26,24.26,edge_dropped_or_filtered
2026-03-07,2026-03-07|KXLOWTCHI-26MAR07-B37.5|BUY YES,Chicago,low,KXLOWTCHI-26MAR07-B37.5,BUY YES,37F to 38F,2026-03-07 03:23:00 PM EST,2026-03-07 03:46:00 PM EST,2026-03-07 03:50:25 PM EST,1380,8,9.75,9.43,edge_dropped_or_filtered
