ts_est,date,city,temp_type,ticker,bet,line,edge_pct,units,stake_dollars,side,limit_price_cents,count,time_in_force,order_action,status,error,fee_dollars,order_id,client_order_id,execution_mode,attempt_count,passive_attempted,aggressive_attempted,aggressive_used,initial_limit_price_cents,final_order_status_raw
2026-03-08 01:55:00 PM EST,2026-03-08,San Francisco,high,KXHIGHTSFO-26MAR08-B68.5,BUY NO,68F to 69F,9.5,0.5,0.5,no,65,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-beda8a801aaa,passive,4,True,False,False,66,
2026-03-08 02:00:00 PM EST,2026-03-08,Denver,high,KXHIGHDEN-26MAR08-B64.5,BUY YES,64F to 65F,7.68,0.5,0.5,yes,29,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-c0b2d7db422c,passive,4,True,False,False,25,
2026-03-08 02:18:00 PM EST,2026-03-08,San Francisco,high,KXHIGHTSFO-26MAR08-B68.5,BUY NO,68F to 69F,8.13,0.5,0.5,no,67,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-36c74fecfb26,passive,4,True,False,False,67,
2026-03-08 02:23:00 PM EST,2026-03-08,San Francisco,high,KXHIGHTSFO-26MAR08-B68.5,BUY NO,68F to 69F,11.33,1.0,1.0,no,67,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-0386ed2a9cb7,passive,4,True,False,False,64,
2026-03-08 02:28:00 PM EST,2026-03-08,San Francisco,high,KXHIGHTSFO-26MAR08-B68.5,BUY NO,68F to 69F,12.91,1.0,1.0,no,69,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-da1c4396885b,passive,4,True,False,False,66,
2026-03-08 02:28:00 PM EST,2026-03-08,Denver,high,KXHIGHDEN-26MAR08-B64.5,BUY YES,64F to 65F,6.95,0.5,0.5,yes,30,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-4908406a83ef,passive,4,True,False,False,27,
2026-03-08 02:35:00 PM EST,2026-03-08,Dallas,high,KXHIGHTDAL-26MAR08-B74.5,BUY NO,74F to 75F,37.0,2.0,2.0,no,63,3,fill_or_kill,buy,submitted,,0.05,fed56cb4-3252-4d5e-838f-e9f8e88e7825,bot-2026-03-08-1731584c343a,aggressive,5,True,True,True,60,executed
2026-03-08 02:35:00 PM EST,2026-03-08,San Francisco,high,KXHIGHTSFO-26MAR08-B68.5,BUY NO,68F to 69F,12.91,1.0,1.0,no,63,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-dcff9ed2500a,passive,4,True,False,False,63,
2026-03-08 02:49:00 PM EST,2026-03-08,San Francisco,high,KXHIGHTSFO-26MAR08-B68.5,BUY NO,68F to 69F,12.91,1.0,1.0,no,70,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-2f02e5dee9c5,passive,4,True,False,False,68,
2026-03-08 02:54:00 PM EST,2026-03-08,San Francisco,high,KXHIGHTSFO-26MAR08-B68.5,BUY NO,68F to 69F,12.91,1.0,1.0,no,67,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-01e39523e615,passive,4,True,False,False,68,
2026-03-08 02:59:00 PM EST,2026-03-08,San Francisco,high,KXHIGHTSFO-26MAR08-B68.5,BUY NO,68F to 69F,11.31,1.0,1.0,no,71,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-08-af907c91ef05,passive,4,True,False,False,66,
2026-03-08 03:32:00 PM EST,2026-03-08,San Francisco,high,KXHIGHTSFO-26MAR08-B68.5,BUY NO,68F to 69F,32.65,1.5,1.5,no,54,2,fill_or_kill,buy,submitted,,0.04,4ea4946d-853b-4434-94cd-4b7cf08aa23b,bot-2026-03-08-6d2703fee320,aggressive,5,True,True,True,51,executed
2026-03-08 05:15:00 PM EST,2026-03-08,Austin,high,KXHIGHAUS-26MAR08-B69.5,BUY NO,69F to 70F,-35.28,4,,no,77,4,fill_or_kill,sell,submitted,,0.03,dc21ff7b-3d06-4dc7-a7ae-2df433fc4088,bot-exit-2026-03-08-687a21dfd5,aggressive,4,True,True,True,79,executed
2026-03-09 12:02:00 AM EST,2026-03-09,Miami,high,KXHIGHMIA-26MAR09-B84.5,BUY NO,84F to 85F,57.0,2.0,2.0,no,43,4,fill_or_kill,buy,submitted,,0.07,fdb6a1e0-6c59-418a-94f7-90ca0d206470,bot-2026-03-09-121fcbf07177,aggressive,4,True,True,True,41,executed
2026-03-09 12:07:00 AM EST,2026-03-09,Boston,high,KXHIGHTBOS-26MAR09-B62.5,BUY NO,62F to 63F,25.0,1.5,1.5,no,74,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-09-76c43a7d2cc0,passive,4,True,False,False,68,
2026-03-09 12:07:00 AM EST,2026-03-09,Miami,low,KXLOWTMIA-26MAR09-T72,BUY NO,73F or above,22.56,1.5,1.5,no,58,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-09-f78aae9c9786,passive,4,True,False,False,54,
2026-03-09 12:13:00 AM EST,2026-03-09,Atlanta,high,KXHIGHTATL-26MAR09-B79.5,BUY NO,79F to 80F,26.0,1.5,1.5,no,73,0,good_till_date,buy,rejected,"{'code': 'invalid_parameters', 'message': 'invalid parameters', 'details': ""Key: 'CreateOrderRequest.TimeInForce' Error:Field validation for 'TimeInForce' failed on the 'oneof' tag""}",0.0,,bot-2026-03-09-151bfdc8a5e2,passive,4,True,False,False,70,
